"","age_ce","estimate","lower_ci","upper_ci"
"211",210,-0.38831557903182,-0.713881327860304,-0.06274983023123
"212",211,-0.387296432902805,-0.712326316545072,-0.0622665492841277
"213",212,-0.386350118780481,-0.710881872077745,-0.0618183655582889
"214",213,-0.385403804658157,-0.709437427610419,-0.0613701818324501
"215",214,-0.384457490535832,-0.707992983143093,-0.0609219981066114
"216",215,-0.383511176413508,-0.706548538675767,-0.0604738143807726
"217",216,-0.382564862291184,-0.705104094208441,-0.0600256306549338
"218",217,-0.38161854816886,-0.703659649741115,-0.059577446929095
"219",218,-0.380672234046535,-0.702215205273789,-0.0591292632032562
"220",219,-0.379725919924211,-0.700770760806463,-0.0586810794774175
"221",220,-0.378779605801887,-0.699326316339137,-0.0582328957515787
"222",221,-0.377833291679563,-0.697881871871811,-0.0577847120257399
"223",222,-0.376886977557238,-0.696437427404485,-0.0573365282999011
"224",223,-0.375940663434914,-0.694992982937159,-0.0568883445740624
"225",224,-0.37499434931259,-0.693548538469833,-0.0564401608482236
"226",225,-0.374048035190266,-0.692104094002507,-0.0559919771223848
"227",226,-0.373101721067941,-0.69065964953518,-0.055543793396546
"228",227,-0.372155406945617,-0.689215205067854,-0.0550956096707072
"229",228,-0.371209092823293,-0.687770760600528,-0.0546474259448685
"230",229,-0.370262778700969,-0.686326316133202,-0.0541992422190297
"231",230,-0.36932198249538,-0.684889657489959,-0.0537543084990216
"232",231,-0.368535399643436,-0.683670595106377,-0.0534002051272327
"233",232,-0.367748816791492,-0.682451532722794,-0.0530461017554438
"234",233,-0.366962233939548,-0.681232470339212,-0.0526919983836549
"235",234,-0.366175651087604,-0.680013407955629,-0.052337895011866
"236",235,-0.36538906823566,-0.678794345572046,-0.0519837916400771
"237",236,-0.364602485383716,-0.677575283188464,-0.0516296882682882
"238",237,-0.363815902531772,-0.676356220804881,-0.0512755848964994
"239",238,-0.363029319679828,-0.675137158421299,-0.0509214815247105
"240",239,-0.362242736827885,-0.673918096037716,-0.0505673781529216
"241",240,-0.361456153975941,-0.672699033654134,-0.0502132747811327
"242",241,-0.360669571123997,-0.671479971270551,-0.0498591714093438
"243",242,-0.359882988272053,-0.670260908886968,-0.0495050680375549
"244",243,-0.359096405420109,-0.669041846503386,-0.049150964665766
"245",244,-0.358309822568165,-0.667822784119803,-0.0487968612939771
"246",245,-0.357523239716221,-0.666603721736221,-0.0484427579221883
"247",246,-0.356736656864277,-0.665384659352638,-0.0480886545503994
"248",247,-0.355950074012333,-0.664165596969056,-0.0477345511786105
"249",248,-0.35516349116039,-0.662946534585473,-0.0473804478068216
"250",249,-0.354376908308446,-0.66172747220189,-0.0470263444350327
"251",250,-0.353701142003726,-0.660657889414701,-0.0467443946242029
"252",251,-0.353095955312624,-0.659683510930672,-0.046508399777512
"253",252,-0.352490768621523,-0.658709132446644,-0.0462724049308211
"254",253,-0.351885581930421,-0.657734753962615,-0.0460364100841302
"255",254,-0.35128039523932,-0.656760375478587,-0.0458004152374393
"256",255,-0.350675208548218,-0.655785996994559,-0.0455644203907484
"257",256,-0.350070021857117,-0.65481161851053,-0.0453284255440575
"258",257,-0.349464835166015,-0.653837240026502,-0.0450924306973665
"259",258,-0.348859648474914,-0.652862861542473,-0.0448564358506756
"260",259,-0.348254461783812,-0.651888483058445,-0.0446204410039847
"261",260,-0.347649275092711,-0.650914104574416,-0.0443844461572938
"262",261,-0.347044088401609,-0.649939726090388,-0.0441484513106029
"263",262,-0.346438901710508,-0.64896534760636,-0.043912456463912
"264",263,-0.345833715019406,-0.647990969122331,-0.0436764616172211
"265",264,-0.345228528328305,-0.647016590638303,-0.0434404667705302
"266",265,-0.344623341637203,-0.646042212154274,-0.0432044719238393
"267",266,-0.344018154946102,-0.645067833670246,-0.0429684770771484
"268",267,-0.343412968255,-0.644093455186217,-0.0427324822304575
"269",268,-0.342807781563899,-0.643119076702189,-0.0424964873837666
"270",269,-0.342239545041127,-0.642191090147289,-0.0422880009253232
"271",270,-0.341831664786775,-0.641464435195901,-0.0421988953165229
"272",271,-0.341423784532423,-0.640737780244514,-0.0421097897077227
"273",272,-0.341015904278071,-0.640011125293127,-0.0420206840989224
"274",273,-0.340608024023719,-0.63928447034174,-0.0419315784901222
"275",274,-0.340200143769367,-0.638557815390352,-0.0418424728813219
"276",275,-0.339792263515015,-0.637831160438965,-0.0417533672725217
"277",276,-0.339384383260663,-0.637104505487578,-0.0416642616637214
