sitename,depth,age,age_ce,taxa,value,elementtype,ecologicalgroup,group
Caldeirão Connor,80,156,1794,Pteridium aquilinum,4,spore,VACR,Fern
Caldeirão Connor,85,173,1777,Pteridium aquilinum,7,spore,VACR,Fern
Caldeirão Connor,90,190,1760,Pteridium aquilinum,5,spore,VACR,Fern
Caldeirão Connor,95,208,1742,Pteridium aquilinum,1,spore,VACR,Fern
Caldeirão Connor,100,225,1725,Pteridium aquilinum,1,spore,VACR,Fern
Caldeirão Connor,110,259,1691,Pteridium aquilinum,1,spore,VACR,Fern
Caldeirão Connor,115,276,1674,Pteridium aquilinum,2,spore,VACR,Fern
Caldeirão Connor,120,293,1657,Pteridium aquilinum,1,spore,VACR,Fern
Caldeirão Connor,125,309,1641,Pteridium aquilinum,2,spore,VACR,Fern
Caldeirão Connor,130,327,1623,Pteridium aquilinum,1,spore,VACR,Fern
Caldeirão Connor,135,343,1607,Pteridium aquilinum,1,spore,VACR,Fern
Caldeirão Connor,145,378,1572,Pteridium aquilinum,1,spore,VACR,Fern
Caldeirão Connor,150,394,1556,Pteridium aquilinum,1,spore,VACR,Fern
Caldeirão Connor,250,5188,-3238,Pteridium aquilinum,1,spore,VACR,Fern
Caldeirão Connor,265,5557,-3607,Pteridium aquilinum,1,spore,VACR,Fern
Caldeirão Connor,277,8032,-6082,Pteridium aquilinum,1,spore,VACR,Fern
Caldeirão Connor,280,9532,-7582,Pteridium aquilinum,2,spore,VACR,Fern
Caldeirão Connor,295,11823,-9873,Pteridium aquilinum,2,spore,VACR,Fern
Caldeirão Connor,10,-42,1992,Pteris incompleta,5,spore,VACR,Fern
Caldeirão Connor,20,-16,1966,Pteris incompleta,3,spore,VACR,Fern
Caldeirão Connor,30,11,1939,Pteris incompleta,2,spore,VACR,Fern
Caldeirão Connor,40,39,1911,Pteris incompleta,5,spore,VACR,Fern
Caldeirão Connor,50,66,1884,Pteris incompleta,1,spore,VACR,Fern
Caldeirão Connor,60,94,1856,Pteris incompleta,10,spore,VACR,Fern
Caldeirão Connor,65,107,1843,Pteris incompleta,1,spore,VACR,Fern
Caldeirão Connor,70,123,1827,Pteris incompleta,3,spore,VACR,Fern
Caldeirão Connor,75,140,1810,Pteris incompleta,3,spore,VACR,Fern
Caldeirão Connor,80,156,1794,Pteris incompleta,8,spore,VACR,Fern
Caldeirão Connor,85,173,1777,Pteris incompleta,15,spore,VACR,Fern
Caldeirão Connor,90,190,1760,Pteris incompleta,43,spore,VACR,Fern
Caldeirão Connor,95,208,1742,Pteris incompleta,29,spore,VACR,Fern
Caldeirão Connor,100,225,1725,Pteris incompleta,48,spore,VACR,Fern
Caldeirão Connor,105,242,1708,Pteris incompleta,29,spore,VACR,Fern
Caldeirão Connor,110,259,1691,Pteris incompleta,43,spore,VACR,Fern
Caldeirão Connor,115,276,1674,Pteris incompleta,44,spore,VACR,Fern
Caldeirão Connor,120,293,1657,Pteris incompleta,30,spore,VACR,Fern
Caldeirão Connor,125,309,1641,Pteris incompleta,30,spore,VACR,Fern
Caldeirão Connor,130,327,1623,Pteris incompleta,16,spore,VACR,Fern
Caldeirão Connor,135,343,1607,Pteris incompleta,12,spore,VACR,Fern
Caldeirão Connor,140,360,1590,Pteris incompleta,15,spore,VACR,Fern
Caldeirão Connor,145,378,1572,Pteris incompleta,35,spore,VACR,Fern
Caldeirão Connor,150,394,1556,Pteris incompleta,12,spore,VACR,Fern
Caldeirão Connor,155,411,1539,Pteris incompleta,9,spore,VACR,Fern
Caldeirão Connor,160,428,1522,Pteris incompleta,7,spore,VACR,Fern
Caldeirão Connor,165,445,1505,Pteris incompleta,1,spore,VACR,Fern
Caldeirão Connor,170,462,1488,Pteris incompleta,1,spore,VACR,Fern
Caldeirão Connor,175,479,1471,Pteris incompleta,1,spore,VACR,Fern
Caldeirão Connor,180,501,1449,Pteris incompleta,9,spore,VACR,Fern
Caldeirão Connor,185,526,1424,Pteris incompleta,7,spore,VACR,Fern
Caldeirão Connor,190,2724,-774,Pteris incompleta,7,spore,VACR,Fern
Caldeirão Connor,195,3145,-1195,Pteris incompleta,1,spore,VACR,Fern
Caldeirão Connor,200,3497,-1547,Pteris incompleta,1,spore,VACR,Fern
Caldeirão Connor,205,3743,-1793,Pteris incompleta,2,spore,VACR,Fern
Caldeirão Connor,210,3941,-1991,Pteris incompleta,1,spore,VACR,Fern
Caldeirão Connor,215,4093,-2143,Pteris incompleta,1,spore,VACR,Fern
Caldeirão Connor,235,4713,-2763,Pteris incompleta,2,spore,VACR,Fern
Caldeirão Connor,240,4875,-2925,Pteris incompleta,1,spore,VACR,Fern
Caldeirão Connor,245,5029,-3079,Pteris incompleta,2,spore,VACR,Fern
Caldeirão Connor,250,5188,-3238,Pteris incompleta,1,spore,VACR,Fern
Caldeirão Connor,255,5341,-3391,Pteris incompleta,3,spore,VACR,Fern
Caldeirão Connor,260,5440,-3490,Pteris incompleta,28,spore,VACR,Fern
Caldeirão Connor,265,5557,-3607,Pteris incompleta,38,spore,VACR,Fern
Caldeirão Connor,270,5832,-3882,Pteris incompleta,85,spore,VACR,Fern
Caldeirão Connor,277,8032,-6082,Pteris incompleta,5,spore,VACR,Fern
Caldeirão Connor,280,9532,-7582,Pteris incompleta,12,spore,VACR,Fern
Caldeirão Connor,285,11032,-9082,Pteris incompleta,33,spore,VACR,Fern
Caldeirão Connor,295,11823,-9873,Pteris incompleta,1,spore,VACR,Fern
Caldeirão Connor,297,11979,-10029,Pteris incompleta,12,spore,VACR,Fern
Caldeirão Connor,302,12403,-10453,Pteris incompleta,3,spore,VACR,Fern
Caldeirão Connor,50,66,1884,Quercus,1,pollen,TRSH,Tree
Caldeirão Connor,60,94,1856,Quercus,1,pollen,TRSH,Tree
Caldeirão Connor,70,123,1827,Quercus,1,pollen,TRSH,Tree
Caldeirão Connor,80,156,1794,Quercus,1,pollen,TRSH,Tree
Caldeirão Connor,95,208,1742,Quercus,1,pollen,TRSH,Tree
Caldeirão Connor,165,445,1505,Quercus,2,pollen,TRSH,Tree
Caldeirão Connor,180,501,1449,Quercus,1,pollen,TRSH,Tree
Caldeirão Connor,200,3497,-1547,Quercus,1,pollen,TRSH,Tree
Caldeirão Connor,205,3743,-1793,Quercus,1,pollen,TRSH,Tree
Caldeirão Connor,215,4093,-2143,Quercus,1,pollen,TRSH,Tree
Caldeirão Connor,230,4553,-2603,Quercus,1,pollen,TRSH,Tree
Caldeirão Connor,265,5557,-3607,Quercus,1,pollen,TRSH,Tree
Caldeirão Connor,270,5832,-3882,Quercus,3,pollen,TRSH,Tree
Caldeirão Connor,277,8032,-6082,Quercus,1,pollen,TRSH,Tree
Caldeirão Connor,280,9532,-7582,Quercus,1,pollen,TRSH,Tree
Caldeirão Connor,285,11032,-9082,Quercus,3,pollen,TRSH,Tree
Caldeirão Connor,290,11435,-9485,Quercus,1,pollen,TRSH,Tree
Caldeirão Connor,295,11823,-9873,Quercus,1,pollen,TRSH,Tree
Caldeirão Connor,302,12403,-10453,Quercus,1,pollen,TRSH,Tree
Caldeirão Connor,75,140,1810,Quercus ilex,1,pollen,TRSH,Tree
Caldeirão Connor,250,5188,-3238,Quercus ilex,1,pollen,TRSH,Tree
Caldeirão Connor,145,378,1572,Quercus suber,1,pollen,TRSH,Tree
Caldeirão Connor,60,94,1856,Ranunculus cortusifolius,4,pollen,UPHE,Herb
Caldeirão Connor,70,123,1827,Ranunculus cortusifolius,2,pollen,UPHE,Herb
Caldeirão Connor,75,140,1810,Ranunculus cortusifolius,3,pollen,UPHE,Herb
Caldeirão Connor,80,156,1794,Ranunculus cortusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,95,208,1742,Ranunculus cortusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,105,242,1708,Ranunculus cortusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,110,259,1691,Ranunculus cortusifolius,2,pollen,UPHE,Herb
Caldeirão Connor,120,293,1657,Ranunculus cortusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,145,378,1572,Ranunculus cortusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,160,428,1522,Ranunculus cortusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,165,445,1505,Ranunculus cortusifolius,2,pollen,UPHE,Herb
Caldeirão Connor,175,479,1471,Ranunculus cortusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,185,526,1424,Ranunculus cortusifolius,3,pollen,UPHE,Herb
Caldeirão Connor,190,2724,-774,Ranunculus cortusifolius,2,pollen,UPHE,Herb
Caldeirão Connor,195,3145,-1195,Ranunculus cortusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,200,3497,-1547,Ranunculus cortusifolius,2,pollen,UPHE,Herb
Caldeirão Connor,205,3743,-1793,Ranunculus cortusifolius,2,pollen,UPHE,Herb
Caldeirão Connor,210,3941,-1991,Ranunculus cortusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,215,4093,-2143,Ranunculus cortusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,220,4242,-2292,Ranunculus cortusifolius,2,pollen,UPHE,Herb
Caldeirão Connor,225,4397,-2447,Ranunculus cortusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,230,4553,-2603,Ranunculus cortusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,235,4713,-2763,Ranunculus cortusifolius,2,pollen,UPHE,Herb
Caldeirão Connor,240,4875,-2925,Ranunculus cortusifolius,5,pollen,UPHE,Herb
Caldeirão Connor,245,5029,-3079,Ranunculus cortusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,250,5188,-3238,Ranunculus cortusifolius,2,pollen,UPHE,Herb
Caldeirão Connor,255,5341,-3391,Ranunculus cortusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,260,5440,-3490,Ranunculus cortusifolius,6,pollen,UPHE,Herb
