lake,core_depth_id,age_bp,age_ce,high_profile,low_profile,motile,euplanktonic,algivore,detritivore,plantivore,predator
Caveiro,CVL_1B_4930,2909,-959,0.69303202,0.02824859,0.17702448,0.10169492,0.76681614,0.02242152,0.15695067,0.05381166
Caveiro,CVL_1B_4880,2854,-904,0.70565302,0.01754386,0.16764133,0.10916179,0.76989247,0.01935484,0.15268817,0.05806452
Caveiro,CVL_1B_4830,2798,-848,0.67624521,0.08237548,0.22030651,0.0210728,0.66497462,0.06091371,0.21827411,0.05583756
Caveiro,CVL_1B_4780,2743,-793,0.6502947,0.02750491,0.11787819,0.2043222,0.69014085,0.01408451,0.15962441,0.13615023
Caveiro,CVL_1B_4690,2734,-784,0.78082192,0.05479452,0.11350294,0.05088063,0.41666667,0.25,0.25,0.08333333
Caveiro,CVL_1B_4740,2734,-784,0.65039063,0.02929688,0.25390625,0.06640625,0.76190476,0,0.0952381,0.14285714
Caveiro,CVL_1B_4640,2685,-735,0.64187867,0.07436399,0.18199609,0.10176125,0.71910112,0.03370787,0.11235955,0.13483146
Caveiro,CVL_1B_4590,2629,-679,0.75099602,0.02788845,0.1314741,0.08964143,0.75,0,0,0.25
Caveiro,CVL_1B_4540,2574,-624,0.62872154,0.04553415,0.17162872,0.15411559,0.61111111,0,0.11111111,0.27777778
Caveiro,CVL_1B_4490,2533,-583,0.6899811,0.04536862,0.10396975,0.16068053,0.6,0,0.175,0.225
Caveiro,CVL_1B_4440,2484,-534,0.7047619,0.01333333,0.12952381,0.15238095,0.71428571,0.01298701,0.14285714,0.12987013
Caveiro,CVL_1B_4390,2431,-481,0.6631016,0.03743316,0.14616756,0.15329768,0.75454545,0.01818182,0.13636364,0.09090909
Caveiro,CVL_1B_4340,2377,-427,0.69514563,0.02524272,0.07961165,0.2,0.76595745,0.00531915,0.12234043,0.10638298
Caveiro,CVL_1B_4290,2324,-374,0.68715084,0.02979516,0.13221601,0.15083799,0.76806084,0,0.121673,0.11026616
