age_ce,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,Rmean,Rmed
61,-0.0244134,-0.1472975,-0.0848625,-0.8529318,0.202,-0.2853512,-0.5709335,-0.25,0.4211313,0.38892097,0.00561637,,0.02416,-0.8154068,-0.1905856,-0.155711,-0.11608
62,-0.3286504,-0.4024487,-0.3941633,-1.3669513,0.013,-0.4068129,-0.7518337,0.03,-0.0361694,-0.1337574,-0.3100633,,-0.53991,-0.9302265,-0.3367962,-0.4210559,-0.3654797
63,-0.0476716,-0.3662906,-0.3737301,-0.763482,0.31,-0.2828625,-0.5886617,0.26,0.31263304,0.18303586,-0.151555,,-0.2025,-0.7248744,-0.1994378,-0.1882426,-0.2009689
64,0.30093209,-0.2360068,-0.2187172,-0.1771029,-0.032,-0.2047071,-0.4686342,0.33,0.60406078,0.34994856,0.04260539,,-0.0009862,-0.7364662,-0.0340974,-0.0343694,-0.0330487
65,0.5489652,-0.4285892,-0.2838516,-1.2634764,-0.304,-0.1747078,-0.6273327,0.32,0.36717879,0.28345032,-0.1120625,,-0.080818,-0.7849118,-0.2311403,-0.1979497,-0.202924
66,-0.1461201,-0.6061588,-0.6657796,-0.6199621,-0.307,-0.4015582,-0.5074366,0.06,0.3004062,-0.4555537,-0.3440014,,-0.40408,-0.8263524,-0.3474875,-0.376506,-0.4028191
67,0.22405677,-0.6199909,-0.5860616,-0.689036,-0.137,-0.319909,-0.4543239,-0.06,0.35705316,-0.1527948,-0.2307488,,-0.057327,-0.8806311,-0.231195,-0.2741363,-0.2309719
68,-0.4442795,-0.6489887,-0.810475,-0.7590433,-0.186,-0.5526342,-0.5528666,-0.65,0.10571297,-0.8778985,-0.463941,,-0.83765,-0.6304489,-0.3219846,-0.5450355,-0.5916577
69,-0.1250047,-0.642897,-0.6509958,-1.0451274,-0.31,-0.3053592,-0.5711975,0.16,0.20899569,-0.149301,-0.2880755,,-0.3166,-0.9278487,-0.2155358,-0.3699248,-0.3076796
70,-0.1220972,-0.7029571,-0.5888309,-1.0094839,0.18,-0.2911512,-0.6343835,0.26,0.1613419,-0.1291887,-0.237562,,-0.39732,-0.7198434,-0.1910125,-0.315892,-0.2643566
71,-0.1508025,-0.3992349,-0.4700146,-0.4788542,0.344,-0.3160594,-0.6119385,0.23,0.31592412,0.19418269,-0.1471607,,-0.15783,-0.9312213,-0.0786951,-0.189836,-0.1543163
72,-0.2887905,-0.5090952,-0.5499274,-0.6306818,-0.059,-0.4012229,-0.6362519,0.15,0.08956024,-0.1592666,-0.268675,-0.478,-0.34348,-0.788755,-0.2714799,-0.3430044,-0.34348
73,0.24672196,-0.4938803,-0.463494,-0.9554024,-0.16,-0.2101669,-0.5650803,0.27,0.15467197,0.1727143,-0.2101074,-0.428,-0.14795,-0.7778386,-0.1377638,-0.2470384,-0.2101074
74,-0.1679259,-0.6582601,-0.6645843,-1.0359074,-0.025,-0.3974862,-0.7536365,-0.02,-0.1713802,-0.3193656,-0.3221793,-0.456,-0.61975,-1.0177568,-0.2965677,-0.46172,-0.3974862
75,-0.1730323,-0.4762575,-0.5287365,-0.5332578,-0.091,-0.3813529,-0.5583738,0.04,0.02169147,-0.0414495,-0.2418199,-0.413,-0.21579,-0.8504386,-0.2138426,-0.310444,-0.2418199
76,-0.2540764,-0.6784501,-0.5877819,-0.4876818,-0.256,-0.3942854,-0.6499595,-0.2,-0.2519988,-0.2347839,-0.3573258,-0.491,0.061665,-0.9016276,-0.469132,-0.4101626,-0.3942854
77,-0.0394477,-0.5079897,-0.4354009,-0.4319776,0.009,-0.3262464,-0.6233342,-0.11,-0.0096705,0.06871377,-0.2276245,-0.446,-0.09794,-0.8415939,-0.2398837,-0.2839597,-0.2398837
78,-0.7541655,-0.8063437,-0.8826344,-1.1043251,0.179,-0.5785353,-0.7348399,-0.1,-0.4277345,-1.0297355,-0.5868184,-0.692,-1.1241,-0.662195,-0.4111398,-0.6477045,-0.692
79,-0.2205178,-0.5989425,-0.6057754,-0.326522,0.033,-0.4004713,-0.6161844,-0.29,-0.0110098,-0.1501645,-0.3281,-0.521,-0.18096,-0.6952595,-0.3631759,-0.3516722,-0.3281
80,0.01439281,-0.5721483,-0.5416457,-0.3149818,-0.319,-0.3330642,-0.6720594,-0.06,-0.1000695,0.05764996,-0.2517572,-0.404,0.12729,-0.7658943,-0.3194635,-0.2969834,-0.319
81,-0.8106548,-0.948818,-0.7046681,-1.2742222,-0.289,-0.4860477,-0.7732227,-0.23,-0.6952729,-0.7801842,-0.5975897,-0.632,-0.7205,-1.074582,-0.5757539,-0.7061677,-0.7046681
82,-0.2203177,-0.7207273,-0.696441,-0.85301,-0.371,-0.3989392,-0.6735985,-0.23,-0.2089351,-0.3975816,-0.4412423,-0.59,-0.21973,-0.7456967,-0.3967445,-0.4775976,-0.3989392
83,-0.2338345,-0.673519,-0.7512574,-0.9553078,-0.175,-0.3770627,-0.7090807,-0.12,-0.1891556,-0.3824966,-0.4072854,-0.593,-0.36554,-1.019691,-0.3737403,-0.4883981,-0.3824966
